Errors log for bcl_ppigremlin
                Error in graph_extraction for 2KBW:                 
                Error in graph_extraction for 5TZQ:                 
                Error in graph_extraction for 5VX3:                 
                Error in graph_extraction for 5VX0:                 
                Error in graph_extraction for 4QVF:                 
                Error in graph_extraction for 2ROD:                 
                Error in graph_extraction for 2P1L:                 
                Error in graph_extraction for 3PK1:                 
                Error in graph_extraction for 3FDM:                 
                Error in graph_extraction for 4ZEQ:                 
                Error in graph_extraction for 3KJ2:                 
                Error in graph_extraction for 3FDL:                 
                Error in graph_extraction for 4BPJ:                 
                Error in graph_extraction for 5VAX:                 
                Error in graph_extraction for 2VOG:                 
                Error in graph_extraction for 2YJ1:                 
                Error in graph_extraction for 3KZ0:                 
                Error in graph_extraction for 5VAY:                 
                Error in graph_extraction for 5VX2:                 
                Error in graph_extraction for 3I1H:                 
                Error in graph_extraction for 5VWV:                 
                Error in graph_extraction for 2VM6:                 
                Error in graph_extraction for 6IJQ:                 
                Error in graph_extraction for 1BXL:                 
                Error in graph_extraction for 4A1W:                 
                Error in graph_extraction for 5UUK:                 
                Error in graph_extraction for 2NLA:                 
                Error in graph_extraction for 4Z9V:                 
                Error in graph_extraction for 3KJ0:                 
                Error in graph_extraction for 3IO9:                 
                Error in graph_extraction for 2YQ6:                 
                Error in graph_extraction for 2XA0:                 
                Error in graph_extraction for 4MI8:                 
                Error in graph_extraction for 3MK8:                 
                Error in graph_extraction for 5C3G:                 
                Error in graph_extraction for 4S0P:                 
                Error in graph_extraction for 6DCO:                 
                Error in graph_extraction for 3IO8:                 
                Error in graph_extraction for 2BZW:                 
                Error in graph_extraction for 5UA4:                 
                Error in graph_extraction for 4CIN:                 
                Error in graph_extraction for 5FMJ:                 
                Error in graph_extraction for 2VOI:                 
                Error in graph_extraction for 5AGW:                 
                Error in graph_extraction for 5JSB:                 
                Error in graph_extraction for 4BPI:                 
                Error in graph_extraction for 5VWX:                 
                Error in graph_extraction for 5JSN:                 
                Error in graph_extraction for 5VWY:                 
                Error in graph_extraction for 5W89:                 
                Error in graph_extraction for 5FMK:                 
                Error in graph_extraction for 3R85:                 
                Error in graph_extraction for 4ZIE:                 
                Error in graph_extraction for 2K7W:                 
                Error in graph_extraction for 5UUM:                 
                Error in graph_extraction for 6DCN:                 
                Error in graph_extraction for 6E3J:                 
                Error in graph_extraction for 6E3I:                 
                Error in graph_extraction for 2LR1:                 
                Error in graph_extraction for 3MQP:                 
                Error in graph_extraction for 5W8F:                 
                Error in graph_extraction for 5WHH:                 
                Error in graph_extraction for 2A5Y:                 
                Error in graph_extraction for 5UUP:                 
                Error in graph_extraction for 2M04:                 
                Error in graph_extraction for 5WOS:                 
                Error in graph_extraction for 2M5B:                 
                Error in graph_extraction for 4B4S:                 
                Error in graph_extraction for 4G35:                 
                Error in graph_extraction for 5W5Z:                 
                Error in graph_extraction for 5W5X:                 
                Error in graph_extraction for 1ZY3:                 
                Error in graph_extraction for 2VOF:                 
                Error in graph_extraction for 5UUL:                 
                Error in graph_extraction for 4HNJ:                 
                Error in graph_extraction for 4QVE:                 
                Error in graph_extraction for 5AGX:                 
                Error in graph_extraction for 4A1U:                 
                Error in graph_extraction for 5VAU:                 
                Error in graph_extraction for 4YJ4:                 
                Error in graph_extraction for 2VOH:                 
                Error in graph_extraction for 3KJ1:                 
                Error in graph_extraction for 5VWZ:                 
                Error in graph_extraction for 2YQ7:                 
                Error in graph_extraction for 4ZIG:                 
                Error in graph_extraction for 4BPK:                 
                Error in graph_extraction for 5TZP:                 
                Error in graph_extraction for 2ROC:                 
                Error in graph_extraction for 4YK9:                 
                Error in graph_extraction for 3PL7:                 
                Error in graph_extraction for 3D7V:                 
                Error in graph_extraction for 3DVU:                 
                Error in graph_extraction for 2NL9:                 
                Error in graph_extraction for 3BL2:                 
                Error in graph_extraction for 2PQK:                 
                Error in graph_extraction for 1TY4:                 
                Error in graph_extraction for 5C3F:                 
                Error in graph_extraction for 5VWW:                 
                Error in graph_extraction for 2LP8:                 
