Errors log for ligand_BME
                Error in graph_extraction for 2BME:                 
                Error in graph_extraction for 1U0E:                 
                Error in graph_extraction for 1XFJ:                 
                Error in graph_extraction for 1E0S:                 
                Error in graph_extraction for 4KSJ:                 
                Error in graph_extraction for 3DEW:                 
                Error in graph_extraction for 1HVY:                 
                Error in graph_extraction for 1PPD:                 
                Error in graph_extraction for 4JFA:                 
                Error in graph_extraction for 5HRB:                 
                Error in graph_extraction for 2Y4O:                 
                Error in graph_extraction for 2GWN:                 
                Error in graph_extraction for 1GSE:                 
                Error in graph_extraction for 1NZO:                 
                Error in graph_extraction for 1VZO:                 
                Error in graph_extraction for 5JVA:                 
                Error in graph_extraction for 1HP7:                 
                Error in graph_extraction for 3DNM:                 
                Error in graph_extraction for 3BIT:                 
                Error in graph_extraction for 1HA3:                 
                Error in graph_extraction for 1EXU:                 
                Error in graph_extraction for 1VI9:                 
                Error in graph_extraction for 1K9Y:                 
                Error in graph_extraction for 2FU5:                 
                Error in graph_extraction for 2J5C:                 
                Error in graph_extraction for 3KYS:                 
                Error in graph_extraction for 2B6C:                 
                Error in graph_extraction for 2BXY:                 
                Error in graph_extraction for 3JZE:                 
                Error in graph_extraction for 1JOF:                 
                Error in graph_extraction for 4BG4:                 
                Error in graph_extraction for 1JDW:                 
                Error in graph_extraction for 3EW8:                 
                Error in graph_extraction for 1YLH:                 
                Error in graph_extraction for 4DPH:                 
                Error in graph_extraction for 3G4D:                 
                Error in graph_extraction for 1S3I:                 
                Error in graph_extraction for 1UMY:                 
                Error in graph_extraction for 4TN4:                 
                Error in graph_extraction for 3SZQ:                 
                Error in graph_extraction for 2OBO:                 
                Error in graph_extraction for 2IGP:                 
                Error in graph_extraction for 1O62:                 
                Error in graph_extraction for 5IAX:                 
                Error in graph_extraction for 2ARY:                 
                Error in graph_extraction for 5HM7:                 
                Error in graph_extraction for 4R9I:                 
                Error in graph_extraction for 3A28:                 
                Error in graph_extraction for 1UW4:                 
                Error in graph_extraction for 1BTC:                 
                Error in graph_extraction for 5DUJ:                 
