Errors log for ligand_PLP
                Error in graph_extraction for 2ZY4:                 
                Error in graph_extraction for 1M54:                 
                Error in graph_extraction for 1LK9:                 
                Error in graph_extraction for 1YGP:                 
                Error in graph_extraction for 2Z67:                 
                Error in graph_extraction for 2CFT:                 
                Error in graph_extraction for 2HZP:                 
                Error in graph_extraction for 1N31:                 
                Error in graph_extraction for 3N29:                 
                Error in graph_extraction for 5X03:                 
                Error in graph_extraction for 2DGM:                 
                Error in graph_extraction for 1T3I:                 
