Errors log for ligand_PO4
                Error in graph_extraction for 2R86:                 
                Error in graph_extraction for 5GVD:                 
                Error in graph_extraction for 5FIC:                 
                Error in graph_extraction for 2E1M:                 
                Error in graph_extraction for 5GKD:                 
                Error in graph_extraction for 1M32:                 
                Error in graph_extraction for 4XW6:                 
                Error in graph_extraction for 3BUD:                 
                Error in graph_extraction for 3U0H:                 
                Error in graph_extraction for 4MDP:                 
                Error in graph_extraction for 2WYS:                 
                Error in graph_extraction for 3D3Z:                 
                Error in graph_extraction for 4M6P:                 
                Error in graph_extraction for 1RJC:                 
                Error in graph_extraction for 1T5A:                 
                Error in graph_extraction for 2FWR:                 
                Error in graph_extraction for 1VKF:                 
                Error in graph_extraction for 4RNA:                 
                Error in graph_extraction for 5M3H:                 
                Error in graph_extraction for 2ILP:                 
                Error in graph_extraction for 3ADB:                 
                Error in graph_extraction for 3R4P:                 
                Error in graph_extraction for 4IIA:                 
                Error in graph_extraction for 2RII:                 
                Error in graph_extraction for 2X1I:                 
                Error in graph_extraction for 3DNU:                 
                Error in graph_extraction for 3LG2:                 
                Error in graph_extraction for 3TS7:                 
                Error in graph_extraction for 4PY9:                 
                Error in graph_extraction for 1DEA:                 
                Error in graph_extraction for 3G1Z:                 
                Error in graph_extraction for 4EEK:                 
                Error in graph_extraction for 1RD8:                 
                Error in graph_extraction for 3E0F:                 
                Error in graph_extraction for 3CMG:                 
                Error in graph_extraction for 1U1C:                 
                Error in graph_extraction for 4H2V:                 
                Error in graph_extraction for 5MSY:                 
                Error in graph_extraction for 3MSR:                 
                Error in graph_extraction for 3CCG:                 
                Error in graph_extraction for 2ZKJ:                 
                Error in graph_extraction for 1Y0E:                 
                Error in graph_extraction for 4PCB:                 
                Error in graph_extraction for 3ONN:                 
                Error in graph_extraction for 1WZC:                 
                Error in graph_extraction for 1TG7:                 
                Error in graph_extraction for 2FFI:                 
                Error in graph_extraction for 4I3Y:                 
                Error in graph_extraction for 1B49:                 
                Error in graph_extraction for 4NV1:                 
                Error in graph_extraction for 3WKG:                 
                Error in graph_extraction for 3S5W:                 
                Error in graph_extraction for 2VF8:                 
                Error in graph_extraction for 1K39:                 
                Error in graph_extraction for 2P6B:                 
