Errors log for metals_CO
                Error in graph_extraction for 1M38:                 
                Error in graph_extraction for 3H2W:                 
                Error in graph_extraction for 5U8Y:                 
                Error in graph_extraction for 1FOF:                 
                Error in graph_extraction for 2AMX:                 
                Error in graph_extraction for 3WTR:                 
                Error in graph_extraction for 9ICB:                 
                Error in graph_extraction for 1Y6V:                 
                Error in graph_extraction for 1OFA:                 
                Error in graph_extraction for 5I1Y:                 
                Error in graph_extraction for 2EHD:                 
                Error in graph_extraction for 3MGP:                 
                Error in graph_extraction for 4ERO:                 
                Error in graph_extraction for 2YYE:                 
                Error in graph_extraction for 1RMQ:                 
                Error in graph_extraction for 4JZ2:                 
                Error in graph_extraction for 1WN1:                 
                Error in graph_extraction for 4IWW:                 
                Error in graph_extraction for 4MET:                 
                Error in graph_extraction for 3IUH:                 
                Error in graph_extraction for 2OPC:                 
                Error in graph_extraction for 3LMM:                 
                Error in graph_extraction for 5F8B:                 
                Error in graph_extraction for 1IAB:                 
                Error in graph_extraction for 3BD5:                 
                Error in graph_extraction for 3DWC:                 
                Error in graph_extraction for 1IQX:                 
                Error in graph_extraction for 4Q0P:                 
                Error in graph_extraction for 1RXT:                 
                Error in graph_extraction for 5M1O:                 
                Error in graph_extraction for 2YWR:                 
                Error in graph_extraction for 1YDP:                 
                Error in graph_extraction for 1QW7:                 
                Error in graph_extraction for 2HBX:                 
                Error in graph_extraction for 5XG3:                 
                Error in graph_extraction for 4PW8:                 
                Error in graph_extraction for 2F7N:                 
                Error in graph_extraction for 1GQI:                 
                Error in graph_extraction for 1XMH:                 
                Error in graph_extraction for 1KEJ:                 
                Error in graph_extraction for 1FX7:                 
                Error in graph_extraction for 1H0N:                 
                Error in graph_extraction for 3H9A:                 
                Error in graph_extraction for 3ISQ:                 
                Error in graph_extraction for 1K1E:                 
                Error in graph_extraction for 2ICV:                 
                Error in graph_extraction for 2DDS:                 
                Error in graph_extraction for 2K9C:                 
                Error in graph_extraction for 3GOB:                 
                Error in graph_extraction for 3P0F:                 
                Error in graph_extraction for 1CAH:                 
                Error in graph_extraction for 1XRC:                 
                Error in graph_extraction for 1A0E:                 
                Error in graph_extraction for 1EPY:                 
                Error in graph_extraction for 2QTM:                 
