Errors log for nicleic_dna
                Error in graph_extraction for 3DPG:                 
                Error in graph_extraction for 1TF6:                 
                Error in graph_extraction for 1J46:                 
                Error in graph_extraction for 4DAV:                 
                Error in graph_extraction for 2XMA:                 
                Error in graph_extraction for 4M8O:                 
                Error in graph_extraction for 1EYU:                 
                Error in graph_extraction for 2O8E:                 
                Error in graph_extraction for 3RA4:                 
                Error in graph_extraction for 1KSY:                 
                Error in graph_extraction for 2IT0:                 
                Error in graph_extraction for 1QNE:                 
                Error in graph_extraction for 3MFK:                 
                Error in graph_extraction for 3MLP:                 
                Error in graph_extraction for 4C2U:                 
                Error in graph_extraction for 3KNT:                 
                Error in graph_extraction for 4QQW:                 
                Error in graph_extraction for 1DMU:                 
                Error in graph_extraction for 1KQQ:                 
                Error in graph_extraction for 4NQA:                 
                Error in graph_extraction for 3BS1:                 
                Error in graph_extraction for 1RM1:                 
                Error in graph_extraction for 1U8R:                 
                Error in graph_extraction for 4RSB:                 
                Error in graph_extraction for 1PH1:                 
                Error in graph_extraction for 1ESG:                 
                Error in graph_extraction for 2GZK:                 
                Error in graph_extraction for 3SZ5:                 
                Error in graph_extraction for 3UPU:                 
                Error in graph_extraction for 2LT7:                 
                Error in graph_extraction for 4ER8:                 
                Error in graph_extraction for 3HZI:                 
                Error in graph_extraction for 4E54:                 
                Error in graph_extraction for 4NI7:                 
                Error in graph_extraction for 1ODG:                 
                Error in graph_extraction for 3D6Y:                 
                Error in graph_extraction for 3ULP:                 
                Error in graph_extraction for 3K9F:                 
                Error in graph_extraction for 4BXO:                 
                Error in graph_extraction for 2E52:                 
                Error in graph_extraction for 2JP9:                 
                Error in graph_extraction for 4LJR:                 
                Error in graph_extraction for 1LRR:                 
                Error in graph_extraction for 4IQJ:                 
                Error in graph_extraction for 4I6Z:                 
                Error in graph_extraction for 3RAD:                 
                Error in graph_extraction for 2P5O:                 
                Error in graph_extraction for 3H8O:                 
                Error in graph_extraction for 5BOX:                 
                Error in graph_extraction for 5D9I:                 
                Error in graph_extraction for 3UGO:                 
                Error in graph_extraction for 2CCZ:                 
                Error in graph_extraction for 3KLE:                 
                Error in graph_extraction for 4LMG:                 
                Error in graph_extraction for 4N0O:                 
                Error in graph_extraction for 1XSD:                 
                Error in graph_extraction for 1TF3:                 
                Error in graph_extraction for 2I0Q:                 
                Error in graph_extraction for 1OE4:                 
                Error in graph_extraction for 1CEZ:                 
                Error in graph_extraction for 1YF3:                 
                Error in graph_extraction for 1CIT:                 
                Error in graph_extraction for 2BSQ:                 
                Error in graph_extraction for 3TAG:                 
                Error in graph_extraction for 3UBT:                 
                Error in graph_extraction for 4UQM:                 
                Error in graph_extraction for 4JUO:                 
                Error in graph_extraction for 2XRZ:                 
                Error in graph_extraction for 3U3W:                 
                Error in graph_extraction for 1L3L:                 
                Error in graph_extraction for 2GLI:                 
