Errors log for nucleotides_FAD
                Error in graph_extraction for 3AD7:                 
                Error in graph_extraction for 2E1M:                 
                Error in graph_extraction for 3P9U:                 
                Error in graph_extraction for 4CDM:                 
                Error in graph_extraction for 2B3D:                 
                Error in graph_extraction for 3NTA:                 
                Error in graph_extraction for 5O0X:                 
                Error in graph_extraction for 1FCD:                 
                Error in graph_extraction for 3DJL:                 
                Error in graph_extraction for 3D1C:                 
                Error in graph_extraction for 4GDP:                 
                Error in graph_extraction for 4QI6:                 
                Error in graph_extraction for 1GTH:                 
                Error in graph_extraction for 1I7P:                 
                Error in graph_extraction for 2G37:                 
                Error in graph_extraction for 5JWA:                 
                Error in graph_extraction for 4REP:                 
                Error in graph_extraction for 1RP4:                 
                Error in graph_extraction for 3CP8:                 
                Error in graph_extraction for 2YYJ:                 
                Error in graph_extraction for 1V93:                 
                Error in graph_extraction for 3AX7:                 
                Error in graph_extraction for 4WCT:                 
                Error in graph_extraction for 1COY:                 
                Error in graph_extraction for 4UIR:                 
                Error in graph_extraction for 2Z5X:                 
                Error in graph_extraction for 3X0V:                 
                Error in graph_extraction for 5VJ7:                 
                Error in graph_extraction for 1KRH:                 
                Error in graph_extraction for 3HYV:                 
                Error in graph_extraction for 5YB6:                 
                Error in graph_extraction for 2XLR:                 
                Error in graph_extraction for 3LLI:                 
                Error in graph_extraction for 3AXB:                 
                Error in graph_extraction for 3AH5:                 
                Error in graph_extraction for 2E1Q:                 
                Error in graph_extraction for 2X8C:                 
                Error in graph_extraction for 3NVV:                 
                Error in graph_extraction for 3UOX:                 
                Error in graph_extraction for 2OAL:                 
                Error in graph_extraction for 3GWN:                 
                Error in graph_extraction for 4FGL:                 
                Error in graph_extraction for 5YS9:                 
                Error in graph_extraction for 5ER9:                 
                Error in graph_extraction for 1AHV:                 
                Error in graph_extraction for 1JNR:                 
                Error in graph_extraction for 3S1E:                 
                Error in graph_extraction for 2HQ9:                 
                Error in graph_extraction for 4YSX:                 
                Error in graph_extraction for 2YR4:                 
                Error in graph_extraction for 5NCC:                 
                Error in graph_extraction for 3QCP:                 
                Error in graph_extraction for 5UAO:                 
                Error in graph_extraction for 3H8I:                 
                Error in graph_extraction for 1HYU:                 
                Error in graph_extraction for 3AB1:                 
                Error in graph_extraction for 3GWL:                 
                Error in graph_extraction for 5TUE:                 
                Error in graph_extraction for 3PVC:                 
                Error in graph_extraction for 5HYM:                 
                Error in graph_extraction for 2WSI:                 
                Error in graph_extraction for 4KPU:                 
                Error in graph_extraction for 3C96:                 
                Error in graph_extraction for 2I0Z:                 
                Error in graph_extraction for 1F0X:                 
                Error in graph_extraction for 5EOW:                 
                Error in graph_extraction for 3ES9:                 
                Error in graph_extraction for 3E1T:                 
                Error in graph_extraction for 1EWY:                 
                Error in graph_extraction for 2AF6:                 
                Error in graph_extraction for 2GMH:                 
                Error in graph_extraction for 3HZL:                 
                Error in graph_extraction for 5BVA:                 
                Error in graph_extraction for 1E7P:                 
                Error in graph_extraction for 1SEZ:                 
                Error in graph_extraction for 5BUK:                 
                Error in graph_extraction for 1FIQ:                 
                Error in graph_extraction for 3I3L:                 
                Error in graph_extraction for 3UKK:                 
                Error in graph_extraction for 2GB0:                 
                Error in graph_extraction for 2WDW:                 
                Error in graph_extraction for 3LCM:                 
                Error in graph_extraction for 2BF4:                 
                Error in graph_extraction for 4Z25:                 
                Error in graph_extraction for 2VVM:                 
