Errors log for nucleotides_NAD
                Error in graph_extraction for 3C7A:                 
                Error in graph_extraction for 1Z45:                 
                Error in graph_extraction for 3CLH:                 
                Error in graph_extraction for 1I24:                 
                Error in graph_extraction for 2QJO:                 
                Error in graph_extraction for 1U7H:                 
                Error in graph_extraction for 1LJ8:                 
                Error in graph_extraction for 2DPH:                 
                Error in graph_extraction for 5D4D:                 
                Error in graph_extraction for 5JWB:                 
                Error in graph_extraction for 2DT5:                 
                Error in graph_extraction for 5K8C:                 
                Error in graph_extraction for 5A3C:                 
                Error in graph_extraction for 3ABI:                 
                Error in graph_extraction for 1ARZ:                 
                Error in graph_extraction for 2ZJ0:                 
                Error in graph_extraction for 2W2L:                 
                Error in graph_extraction for 1K6X:                 
                Error in graph_extraction for 1YBA:                 
                Error in graph_extraction for 2C59:                 
