Errors log for nucleotides_UDP
                Error in graph_extraction for 4II9:                 
                Error in graph_extraction for 1ON8:                 
                Error in graph_extraction for 2Z86:                 
                Error in graph_extraction for 3HBN:                 
                Error in graph_extraction for 3MBO:                 
                Error in graph_extraction for 2V0K:                 
                Error in graph_extraction for 4PQG:                 
                Error in graph_extraction for 4WMB:                 
                Error in graph_extraction for 5HUU:                 
                Error in graph_extraction for 1QGQ:                 
                Error in graph_extraction for 1GY8:                 
                Error in graph_extraction for 2IER:                 
                Error in graph_extraction for 2CVV:                 
                Error in graph_extraction for 2Q6V:                 
                Error in graph_extraction for 5BXC:                 
