Errors log for soybean_ppigremlin
                Error in graph_extraction for 1BRB:                 
                Error in graph_extraction for 1SFI:                 
                Error in graph_extraction for 4HGC:                 
                Error in graph_extraction for 1TPS:                 
                Error in graph_extraction for 3MYW:                 
                Error in graph_extraction for 1SLV:                 
                Error in graph_extraction for 1BRC:                 
                Error in graph_extraction for 1TAW:                 
                Error in graph_extraction for 1JRT:                 
                Error in graph_extraction for 4AOR:                 
                Error in graph_extraction for 3FP6:                 
                Error in graph_extraction for 1CO7:                 
                Error in graph_extraction for 1P2K:                 
                Error in graph_extraction for 1SBW:                 
                Error in graph_extraction for 1TFX:                 
                Error in graph_extraction for 1AVW:                 
                Error in graph_extraction for 4DOQ:                 
                Error in graph_extraction for 1K9O:                 
                Error in graph_extraction for 3P92:                 
                Error in graph_extraction for 4KTS:                 
                Error in graph_extraction for 3TGJ:                 
                Error in graph_extraction for 3TGI:                 
                Error in graph_extraction for 1FY8:                 
                Error in graph_extraction for 4AN7:                 
                Error in graph_extraction for 1SLX:                 
                Error in graph_extraction for 1EJM:                 
                Error in graph_extraction for 1JRS:                 
                Error in graph_extraction for 4Y10:                 
                Error in graph_extraction for 1P2J:                 
                Error in graph_extraction for 1H9I:                 
                Error in graph_extraction for 1MCT:                 
                Error in graph_extraction for 1P2I:                 
                Error in graph_extraction for 1H9H:                 
                Error in graph_extraction for 1EJA:                 
                Error in graph_extraction for 1SLW:                 
                Error in graph_extraction for 3FP7:                 
                Error in graph_extraction for 3TGK:                 
                Error in graph_extraction for 1Z7K:                 
                Error in graph_extraction for 4WXV:                 
                Error in graph_extraction for 4AOQ:                 
                Error in graph_extraction for 3P95:                 
                Error in graph_extraction for 4U30:                 
                Error in graph_extraction for 1F7Z:                 
                Error in graph_extraction for 2RA3:                 
                Error in graph_extraction for 4ABJ:                 
                Error in graph_extraction for 1C9P:                 
                Error in graph_extraction for 3FP8:                 
                Error in graph_extraction for 1AN1:                 
                Error in graph_extraction for 4KTU:                 
