CMDLINE python src/compress/measure_memory_v2.py
MEM 1.320312 1778621602.4983
MEM 26.441406 1778621602.5986
MEM 40.242188 1778621602.6989
MEM 46.003906 1778621602.7992
MEM 48.945312 1778621602.8994
MEM 89.234375 1778621602.9998
MEM 91.609375 1778621603.1001
MEM 97.398438 1778621603.2004
MEM 101.687500 1778621603.3006
MEM 106.488281 1778621603.4009
MEM 110.976562 1778621603.5012
MEM 115.593750 1778621603.6015
MEM 118.089844 1778621603.7018
MEM 119.605469 1778621603.8021
MEM 122.562500 1778621603.9024
MEM 152.972656 1778621604.0027
MEM 162.378906 1778621604.1030
MEM 186.601562 1778621604.2034
MEM 257.476562 1778621604.3038
MEM 262.761719 1778621604.4041
MEM 272.804688 1778621604.5044
MEM 288.527344 1778621604.6048
MEM 314.371094 1778621604.7053
MEM 347.488281 1778621604.8057
MEM 321.406250 1778621604.9063
MEM 321.406250 1778621605.0068
MEM 321.406250 1778621605.1074
MEM 321.406250 1778621605.2079
MEM 321.406250 1778621605.3084
MEM 321.406250 1778621605.4089
MEM 321.406250 1778621605.5094
MEM 321.406250 1778621605.6100
MEM 321.406250 1778621605.7105
MEM 321.406250 1778621605.8110
MEM 321.406250 1778621605.9115
MEM 321.406250 1778621606.0120
MEM 321.406250 1778621606.1125
MEM 321.406250 1778621606.2131
MEM 321.406250 1778621606.3136
MEM 321.406250 1778621606.4141
MEM 321.406250 1778621606.5146
MEM 321.406250 1778621606.6151
MEM 321.406250 1778621606.7156
MEM 321.406250 1778621606.8161
MEM 321.406250 1778621606.9166
MEM 321.406250 1778621607.0172
MEM 321.406250 1778621607.1177
MEM 321.406250 1778621607.2182
MEM 321.406250 1778621607.3187
MEM 321.406250 1778621607.4192
MEM 321.406250 1778621607.5197
MEM 321.406250 1778621607.6204
MEM 321.406250 1778621607.7209
MEM 321.406250 1778621607.8214
MEM 143.734375 1778621607.9218
