dataset,v1,v2,compression_ratio
bcl_ppigremlin.txt,855.2,681.3,1.2552473212975197
ligand_BME.txt,1325.0,1247.6,1.062039115100994
ligand_PLP.txt,1090.1,944.2,1.1545223469603896
ligand_PO4.txt,6893.0,6795.1,1.0144074406557666
metals_CO.txt,1429.1,1326.4,1.0774276236429432
nicleic_dna.txt,3143.4,3056.7,1.0283639218765337
nucleotides_FAD.txt,1854.6,1647.7,1.1255689749347575
nucleotides_NAD.txt,1545.9,1408.8,1.0973168654173766
nucleotides_UDP.txt,1081.0,934.9,1.156273398224409
soybean_ppigremlin.txt,838.3,676.6,1.238989062961868
