CMDLINE python src/compress/measure_memory_v1.py
MEM 1.367188 1778266332.9768
MEM 26.539062 1778266333.0771
MEM 40.304688 1778266333.1774
MEM 46.160156 1778266333.2777
MEM 49.042969 1778266333.3780
MEM 51.800781 1778266333.4782
MEM 53.597656 1778266333.5785
MEM 54.503906 1778266333.6788
MEM 90.250000 1778266333.7791
MEM 93.386719 1778266333.8793
MEM 100.191406 1778266333.9796
MEM 103.835938 1778266334.0799
MEM 109.417969 1778266334.1802
MEM 113.269531 1778266334.2805
MEM 117.453125 1778266334.3808
MEM 120.523438 1778266334.4811
MEM 122.039062 1778266334.5813
MEM 125.273438 1778266334.6816
MEM 126.910156 1778266334.7819
MEM 130.437500 1778266334.8821
MEM 131.527344 1778266334.9824
MEM 135.335938 1778266335.0827
MEM 137.281250 1778266335.1829
MEM 171.953125 1778266335.2832
MEM 180.050781 1778266335.3835
MEM 184.621094 1778266335.4838
MEM 188.148438 1778266335.5841
MEM 195.664062 1778266335.6844
MEM 196.308594 1778266335.7847
MEM 196.597656 1778266335.8850
MEM 197.144531 1778266335.9852
MEM 199.894531 1778266336.0855
MEM 201.796875 1778266336.1858
MEM 203.816406 1778266336.2860
MEM 209.867188 1778266336.3863
MEM 212.125000 1778266336.4866
MEM 215.703125 1778266336.5868
MEM 217.113281 1778266336.6871
MEM 217.859375 1778266336.7874
MEM 217.859375 1778266336.8876
MEM 217.859375 1778266336.9879
MEM 219.292969 1778266337.0882
MEM 219.570312 1778266337.1884
MEM 221.878906 1778266337.2887
MEM 223.187500 1778266337.3889
MEM 223.718750 1778266337.4892
MEM 223.976562 1778266337.5895
MEM 224.492188 1778266337.6897
MEM 228.746094 1778266337.7900
MEM 231.417969 1778266337.8903
MEM 244.531250 1778266337.9906
MEM 236.843750 1778266338.0909
MEM 236.843750 1778266338.1913
MEM 238.031250 1778266338.2916
MEM 238.539062 1778266338.3918
MEM 241.324219 1778266338.4921
MEM 243.878906 1778266338.5924
MEM 245.679688 1778266338.6926
