dataset,code_count,Average number of nodes,Average number of edges,Time to construct graphs,Number of graphs,Time to compress,Mean time to extract,Uncompressed complete graph size,Uncompressed structure graph size,Uncompressed edge size,Uncompressed node size,Uncompressed complete graph serialized,Uncompressed edge serialized,Uncompressed node serialized,Uncompressed node parts that are compressible,Uncompressed edge parts that are compressible,Uncompressed node parts that are not compressible,Compressed graph complete size,Compressed complete node size,Compressed complete edge size,Compressed node attributes size,Compressed edge attributes size,Compressed node attributes keys size,Compressed edge attributes keys size,Compressed pdb to nodes size,Compressed pdb to edges size,Compressed node to id size,Compressed edge to id size,Compressed edge parts that are compressible,Compressed node parts that are compressible,Compressed node parts that are not compressible,Compressed graph object size,Compressed graph complete size serialized
bcl_ppigremlin,116,284.5258620689655,2046.1206896551723,8.257620096206665,116.0,7.417466878890991,0.04004137269381819,153.00116729736328,41.177955627441406,0.728546142578125,0.19293212890625,17.239166259765625,0.061279296875,0.0243988037109375,7.050628662109375,74.40000915527344,2007.5074615478516,116.31861114501953,17.834762573242188,98.48384857177734,6.2545013427734375,76.26106262207031,9.988739013671875,0.0020294189453125,0.0743865966796875,0.43106842041015625,1.5171356201171875,21.789688110351562,0.0020294189453125,2.1194534301757812,14.096939086914062,109.74861907958984,14.040046691894531
ligand_BME,187,561.0695187165776,4144.3422459893045,18.495530366897583,187.0,41.7118821144104,0.1625889941332812,496.70460510253906,132.5557403564453,0.808990478515625,0.20865631103515625,55.938201904296875,0.06874847412109375,0.02642059326171875,22.413330078125,242.76373291015625,7229.510406494141,468.51536560058594,58.835182189941406,409.68018341064453,21.43225860595703,259.62310791015625,30.849464416503906,0.0020294189453125,0.2184906005859375,1.0536041259765625,6.334968566894531,149.0014419555664,0.0020294189453125,8.611831665039062,43.52362060546875,435.97442626953125,52.214271545410156
ligand_EDO,1458,645.7770919067216,4796.106310013717,173.58868312835693,1458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ligand_HEM,164,832.8963414634146,6249.274390243902,26.11110758781433,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ligand_NAG,685,832.4289897510981,6233.159590043924,1156.3809175491333,683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ligand_PLP,63,1076.2380952380952,8107.523809523809,11.950860500335693,63.0,34.85379147529602,0.44339690889631,326.20899200439453,86.68944549560547,2.9994964599609375,0.5842361450195312,36.73413848876953,0.25731658935546875,0.07927703857421875,14.484283447265625,159.9571990966797,5082.410888671875,299.422119140625,41.39698791503906,258.02513122558594,16.095016479492188,171.23353576660156,19.405487060546875,0.0020294189453125,0.13526153564453125,0.46460723876953125,5.761222839355469,86.32495880126953,0.0020294189453125,7.5089111328125,27.926788330078125,276.3839569091797,34.294677734375
ligand_PO4,1259,750.6584590945195,5603.30420969023,169.0683798789978,1259.0,529.6662418842316,0.3421378408375953,4512.629997253418,1202.4604797363281,1.911712646484375,0.39306640625,508.1581726074219,0.16407012939453125,0.05304718017578125,201.89065551757812,2209.2805786132812,70628.91890716553,3994.332206726074,436.53204345703125,3557.800163269043,142.59139251708984,2343.0794982910156,266.46827697753906,0.0020294189453125,1.86627197265625,8.022506713867188,25.606101989746094,1206.6961288452148,0.0020294189453125,34.935569763183594,373.77813720703125,3754.529426574707,459.12371826171875
ligand_SO4,3206,668.9656893325016,4976.247972551466,381.95093059539795,3206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ligand,6551,699.9827454573217,5214.822873721178,1891.3961606025696,6549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metals_CA,1369,832.755295836377,6238.987582176771,217.81710720062256,1369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metals_CO,196,616.5918367346939,4569.892857142857,21.802173614501953,196.0,47.99079418182373,0.16914143002763085,573.7149124145508,153.15487670898438,1.2905502319335938,0.28853607177734375,64.59918975830078,0.11023712158203125,0.0378265380859375,25.8167724609375,280.5348129272461,8307.83432006836,530.3306503295898,69.51879119873047,460.8118591308594,25.104400634765625,299.8868179321289,35.03691864013672,0.0020294189453125,0.2510986328125,1.1503677368164062,9.126373291015625,159.77264404296875,0.0020294189453125,10.420310974121094,49.58281707763672,493.18870544433594,60.21350860595703
