dataset,Time to construct graphs,number of nodes in dataset,number of edges in dataset,Number of graphs,Time to compress,Uncompressed complete graph size,Uncompressed complete graph size serialized,Uncompressed graph structure,Compressed graph,Compressed graph structure,pdb_code_to_id,pdb_code_to_id_serialized,pdb_id_to_nodes,pdb_id_to_nodes_serialized,pdb_id_to_edges,pdb_id_to_edges_serialized,node_label_to_node_id,node_label_to_node_id_serialized,edge_label_to_edge_id,edge_label_to_edge_id_serialized,Uncompressed node attr values,Uncompressed edge attr values,Compressed dict attributes,Total compressed node attr values,Total compressed edge attr values,attr_keys,attr_keys_serialized,edge_attr_values,edge_attr_values_serialized,node_attr_values,node_attr_values_serialized,Compressed node attributes,node_global_attr_keyvalue_mapping,node_global_attr_keyvalue_mapping_serialized,node_local_attr_keyvalue_mapping,node_local_attr_keyvalue_mapping_serialized,Compressed edge attributes,edge_local_attr_keyvalue_mapping,edge_local_attr_keyvalue_mapping_serialized,Compressed graph object size,Compressed graph complete size serialized
bcl_ppigremlin,17.04,33005,237350,116,7.84,167.52,19.76,84.38,130.30,23.80,0.01,0.00,0.07,0.07,0.44,0.43,1.52,0.15,21.75,2.00,36.36,110.67,43.57,16.69,89.81,0.00,0.00,34.49,5.31,9.09,1.69,7.61,0.20,0.20,7.41,0.61,55.32,55.32,4.99,117.09,17.31
bcl_ppigremlin,16.89,33005,237350,116,7.70,167.52,19.76,84.38,130.30,23.80,0.01,0.00,0.07,0.07,0.44,0.43,1.52,0.15,21.75,2.00,36.36,110.67,43.57,16.69,89.81,0.00,0.00,34.49,5.31,9.09,1.69,7.61,0.20,0.20,7.41,0.61,55.32,55.32,4.99,117.09,17.31
bcl_ppigremlin,16.84,33005,237350,116,7.80,167.52,19.76,84.38,130.30,23.80,0.01,0.00,0.07,0.07,0.44,0.43,1.52,0.15,21.75,2.00,36.36,110.67,43.57,16.69,89.81,0.00,0.00,34.49,5.31,9.09,1.69,7.61,0.20,0.20,7.41,0.61,55.32,55.32,4.99,117.09,17.31
bcl_ppigremlin,16.80,33005,237350,116,7.73,167.52,19.76,84.38,130.30,23.80,0.01,0.00,0.07,0.07,0.44,0.43,1.52,0.15,21.75,2.00,36.36,110.67,43.57,16.69,89.81,0.00,0.00,34.49,5.31,9.09,1.69,7.61,0.20,0.20,7.41,0.61,55.32,55.32,4.99,117.09,17.31
bcl_ppigremlin,16.79,33005,237350,116,7.68,167.52,19.76,84.38,130.30,23.80,0.01,0.00,0.07,0.07,0.44,0.43,1.52,0.15,21.75,2.00,36.36,110.67,43.57,16.69,89.81,0.00,0.00,34.49,5.31,9.09,1.69,7.61,0.20,0.20,7.41,0.61,55.32,55.32,4.99,117.09,17.31
ligand_BME,35.72,104920,774992,187,30.08,543.17,63.85,273.29,537.14,156.45,0.02,0.00,0.22,0.21,1.08,1.07,6.33,0.59,148.79,12.59,116.40,361.32,157.06,54.75,325.95,0.00,0.00,127.30,17.62,29.76,5.20,24.99,0.80,0.80,24.19,2.09,198.65,198.65,17.49,483.46,63.63
ligand_BME,36.00,104920,774992,187,30.68,543.17,63.85,273.29,537.14,156.45,0.02,0.00,0.22,0.21,1.08,1.07,6.33,0.59,148.79,12.59,116.40,361.32,157.06,54.75,325.95,0.00,0.00,127.30,17.62,29.76,5.20,24.99,0.80,0.80,24.19,2.09,198.65,198.65,17.49,483.46,63.63
ligand_BME,36.05,104920,774992,187,30.43,543.17,63.85,273.29,537.14,156.45,0.02,0.00,0.22,0.21,1.08,1.07,6.33,0.59,148.79,12.59,116.40,361.32,157.06,54.75,325.95,0.00,0.00,127.30,17.62,29.76,5.20,24.99,0.80,0.80,24.19,2.09,198.65,198.65,17.49,483.46,63.63
ligand_BME,36.46,104920,774992,187,30.48,543.17,63.85,273.29,537.14,156.45,0.02,0.00,0.22,0.21,1.08,1.07,6.33,0.59,148.79,12.59,116.40,361.32,157.06,54.75,325.95,0.00,0.00,127.30,17.62,29.76,5.20,24.99,0.80,0.80,24.19,2.09,198.65,198.65,17.49,483.46,63.63
ligand_BME,35.96,104920,774992,187,30.78,543.17,63.85,273.29,537.14,156.45,0.02,0.00,0.22,0.21,1.08,1.07,6.33,0.59,148.79,12.59,116.40,361.32,157.06,54.75,325.95,0.00,0.00,127.30,17.62,29.76,5.20,24.99,0.80,0.80,24.19,2.09,198.65,198.65,17.49,483.46,63.63
ligand_PLP,22.72,67803,510774,63,19.79,356.26,41.82,179.26,322.48,92.61,0.01,0.00,0.14,0.13,0.50,0.50,5.76,0.50,86.21,8.44,75.82,237.91,89.06,33.79,196.08,0.00,0.00,71.18,11.57,17.89,3.35,15.91,0.68,0.68,15.23,1.30,124.90,124.90,11.44,286.01,41.77
ligand_PLP,22.67,67803,510774,63,19.57,356.26,41.82,179.26,322.48,92.61,0.01,0.00,0.14,0.13,0.50,0.50,5.76,0.50,86.21,8.44,75.82,237.91,89.06,33.79,196.08,0.00,0.00,71.18,11.57,17.89,3.35,15.91,0.68,0.68,15.23,1.30,124.90,124.90,11.44,286.01,41.77
ligand_PLP,22.60,67803,510774,63,19.67,356.26,41.82,179.26,322.48,92.61,0.01,0.00,0.14,0.13,0.50,0.50,5.76,0.50,86.21,8.44,75.82,237.91,89.06,33.79,196.08,0.00,0.00,71.18,11.57,17.89,3.35,15.91,0.68,0.68,15.23,1.30,124.90,124.90,11.44,286.01,41.77
ligand_PLP,22.70,67803,510774,63,19.56,356.26,41.82,179.26,322.48,92.61,0.01,0.00,0.14,0.13,0.50,0.50,5.76,0.50,86.21,8.44,75.82,237.91,89.06,33.79,196.08,0.00,0.00,71.18,11.57,17.89,3.35,15.91,0.68,0.68,15.23,1.30,124.90,124.90,11.44,286.01,41.77
ligand_PLP,22.78,67803,510774,63,19.81,356.26,41.82,179.26,322.48,92.61,0.01,0.00,0.14,0.13,0.50,0.50,5.76,0.50,86.21,8.44,75.82,237.91,89.06,33.79,196.08,0.00,0.00,71.18,11.57,17.89,3.35,15.91,0.68,0.68,15.23,1.30,124.90,124.90,11.44,286.01,41.77
ligand_PO4,326.13,945079,7054560,1259,265.36,4932.00,579.32,2482.18,4517.06,1242.15,0.14,0.01,1.91,1.85,9.45,9.39,25.61,2.63,1205.04,103.97,1052.17,3283.93,1324.84,462.07,2812.84,0.00,0.00,1070.57,161.37,254.27,47.03,207.80,3.25,3.25,204.54,20.96,1742.27,1742.27,166.75,4072.15,572.70
ligand_PO4,324.62,945079,7054560,1259,260.85,4932.00,579.32,2482.18,4517.06,1242.15,0.14,0.01,1.91,1.85,9.45,9.39,25.61,2.63,1205.04,103.97,1052.17,3283.93,1324.84,462.07,2812.84,0.00,0.00,1070.57,161.37,254.27,47.03,207.80,3.25,3.25,204.54,20.96,1742.27,1742.27,166.75,4072.15,572.70
ligand_PO4,324.03,945079,7054560,1259,263.60,4932.00,579.32,2482.18,4517.06,1242.15,0.14,0.01,1.91,1.85,9.45,9.39,25.61,2.63,1205.04,103.97,1052.17,3283.93,1324.84,462.07,2812.84,0.00,0.00,1070.57,161.37,254.27,47.03,207.80,3.25,3.25,204.54,20.96,1742.27,1742.27,166.75,4072.15,572.70
