dataset,avg_time_to_extract
bcl_ppigremlin,0.04
bcl_ppigremlin,0.04
bcl_ppigremlin,0.04
bcl_ppigremlin,0.04
bcl_ppigremlin,0.04
ligand_BME,0.08
ligand_BME,0.08
ligand_BME,0.08
ligand_BME,0.08
ligand_BME,0.08
ligand_PLP,0.15
ligand_PLP,0.15
ligand_PLP,0.15
ligand_PLP,0.15
ligand_PLP,0.15
ligand_PO4,0.11
ligand_PO4,0.11
ligand_PO4,0.11
metals_CO,0.08
metals_CO,0.08
metals_CO,0.08
metals_CO,0.08
metals_CO,0.08
nucleic_dna,0.10
nucleic_dna,0.10
nucleic_dna,0.10
nucleic_dna,0.10
nucleic_dna,0.10
nucleotides_FAD,0.16
nucleotides_FAD,0.16
nucleotides_FAD,0.16
nucleotides_FAD,0.16
nucleotides_FAD,0.16
nucleotides_NAD,0.14
nucleotides_NAD,0.14
nucleotides_NAD,0.14
nucleotides_NAD,0.14
nucleotides_NAD,0.14
nucleotides_UDP,0.13
nucleotides_UDP,0.13
nucleotides_UDP,0.13
nucleotides_UDP,0.13
nucleotides_UDP,0.13
soybean_ppigremlin,0.05
soybean_ppigremlin,0.05
soybean_ppigremlin,0.05
soybean_ppigremlin,0.05
soybean_ppigremlin,0.05
