dataset,avg_time_to_remove
bcl_ppigremlin,12.15
bcl_ppigremlin,12.09
bcl_ppigremlin,12.10
bcl_ppigremlin,12.11
bcl_ppigremlin,12.17
ligand_BME,45.21
ligand_BME,44.29
ligand_BME,44.40
ligand_BME,44.27
ligand_BME,45.38
ligand_PLP,29.23
ligand_PLP,29.22
ligand_PLP,29.09
ligand_PLP,29.43
ligand_PLP,29.81
ligand_PO4,395.25
ligand_PO4,400.50
ligand_PO4,393.88
ligand_PO4,398.32
ligand_PO4,394.25
metals_CO,51.58
metals_CO,51.62
metals_CO,51.49
metals_CO,51.24
metals_CO,51.33
nucleic_dna,165.37
nucleic_dna,160.02
nucleic_dna,159.29
nucleic_dna,162.37
nucleic_dna,158.73
nucleotides_FAD,80.82
nucleotides_FAD,81.98
nucleotides_FAD,82.72
nucleotides_FAD,81.54
nucleotides_FAD,82.60
nucleotides_NAD,59.75
nucleotides_NAD,60.27
nucleotides_NAD,59.94
nucleotides_NAD,60.05
nucleotides_NAD,60.73
nucleotides_UDP,28.62
nucleotides_UDP,28.79
nucleotides_UDP,28.92
nucleotides_UDP,28.53
nucleotides_UDP,28.83
soybean_ppigremlin,10.77
soybean_ppigremlin,10.56
soybean_ppigremlin,10.65
soybean_ppigremlin,10.72
soybean_ppigremlin,10.55
