dataset,time_to_split
bcl_ppigremlin,12.50
bcl_ppigremlin,12.55
bcl_ppigremlin,12.60
bcl_ppigremlin,12.37
bcl_ppigremlin,12.59
ligand_BME,45.68
ligand_BME,45.57
ligand_BME,45.57
ligand_BME,45.94
ligand_BME,45.81
ligand_PLP,30.67
ligand_PLP,30.52
ligand_PLP,30.49
ligand_PLP,30.60
ligand_PLP,29.95
ligand_PO4,412.63
ligand_PO4,412.20
ligand_PO4,410.01
ligand_PO4,410.42
ligand_PO4,410.85
metals_CO,52.76
metals_CO,53.70
metals_CO,53.53
metals_CO,52.99
metals_CO,54.93
nucleic_dna,171.27
nucleic_dna,170.78
nucleic_dna,169.39
nucleic_dna,170.24
nucleic_dna,177.04
nucleotides_FAD,81.23
nucleotides_FAD,82.07
nucleotides_FAD,81.84
nucleotides_FAD,81.63
nucleotides_FAD,82.00
nucleotides_NAD,61.39
nucleotides_NAD,61.41
nucleotides_NAD,61.46
nucleotides_NAD,62.38
nucleotides_NAD,61.73
nucleotides_UDP,28.82
nucleotides_UDP,28.51
nucleotides_UDP,28.70
nucleotides_UDP,28.79
nucleotides_UDP,28.48
soybean_ppigremlin,11.44
soybean_ppigremlin,11.36
soybean_ppigremlin,10.97
soybean_ppigremlin,11.44
soybean_ppigremlin,11.39
