dataset,time_to_merge
bcl_ppigremlin,5.82
bcl_ppigremlin,5.84
bcl_ppigremlin,5.79
bcl_ppigremlin,5.77
bcl_ppigremlin,5.83
ligand_BME,22.62
ligand_BME,22.43
ligand_BME,22.54
ligand_BME,20.82
ligand_BME,22.67
ligand_PLP,15.11
ligand_PLP,14.95
ligand_PLP,15.10
ligand_PLP,15.04
ligand_PLP,14.73
ligand_PO4,195.35
ligand_PO4,195.66
ligand_PO4,194.19
ligand_PO4,195.09
ligand_PO4,194.99
metals_CO,26.08
metals_CO,26.32
metals_CO,26.36
metals_CO,26.16
metals_CO,24.26
nucleic_dna,61.18
nucleic_dna,60.61
nucleic_dna,60.21
nucleic_dna,60.73
nucleic_dna,60.90
nucleotides_FAD,40.91
nucleotides_FAD,41.55
nucleotides_FAD,37.97
nucleotides_FAD,37.86
nucleotides_FAD,41.21
nucleotides_NAD,28.04
nucleotides_NAD,27.88
nucleotides_NAD,27.99
nucleotides_NAD,28.53
nucleotides_NAD,28.10
nucleotides_UDP,9.39
nucleotides_UDP,9.51
nucleotides_UDP,9.44
nucleotides_UDP,9.40
nucleotides_UDP,9.34
soybean_ppigremlin,4.83
soybean_ppigremlin,4.82
soybean_ppigremlin,5.28
soybean_ppigremlin,4.84
soybean_ppigremlin,4.82
