dataset,avg_time_to_extract
bcl_ppigremlin,0.0000003145
bcl_ppigremlin,0.0000003021
bcl_ppigremlin,0.0000003021
bcl_ppigremlin,0.0000002836
bcl_ppigremlin,0.0000003350
ligand_BME,0.0000002894
ligand_BME,0.0000003111
ligand_BME,0.0000003034
ligand_BME,0.0000003098
ligand_BME,0.0000002983
ligand_PLP,0.0000002952
ligand_PLP,0.0000002725
ligand_PLP,0.0000002687
ligand_PLP,0.0000002800
ligand_PLP,0.0000002649
ligand_PO4,0.0000003575
ligand_PO4,0.0000003634
ligand_PO4,0.0000003465
ligand_PO4,0.0000003581
ligand_PO4,0.0000003407
metals_CO,0.0000003199
metals_CO,0.0000003163
metals_CO,0.0000003138
metals_CO,0.0000003126
metals_CO,0.0000003102
nucleic_dna,0.0000003368
nucleic_dna,0.0000003341
nucleic_dna,0.0000003328
nucleic_dna,0.0000003337
nucleic_dna,0.0000003279
nucleotides_FAD,0.0000003378
nucleotides_FAD,0.0000003534
nucleotides_FAD,0.0000003619
nucleotides_FAD,0.0000003520
nucleotides_FAD,0.0000003463
nucleotides_NAD,0.0000003190
nucleotides_NAD,0.0000003173
nucleotides_NAD,0.0000003276
nucleotides_NAD,0.0000003105
nucleotides_NAD,0.0000003208
nucleotides_UDP,0.0000003156
nucleotides_UDP,0.0000002840
nucleotides_UDP,0.0000002980
nucleotides_UDP,0.0000003191
nucleotides_UDP,0.0000002840
soybean_ppigremlin,0.0000002615
soybean_ppigremlin,0.0000002538
soybean_ppigremlin,0.0000002461
soybean_ppigremlin,0.0000002077
soybean_ppigremlin,0.0000002256
