dataset,Time to construct graphs,number of nodes in dataset,number of edges in dataset,Number of graphs,Time to compress,Uncompressed complete graph size,Uncompressed complete graph size serialized,Uncompressed graph structure,Compressed graph,Compressed graph structure,pdb_code_to_id,pdb_code_to_id_serialized,pdb_id_to_nodes,pdb_id_to_nodes_serialized,pdb_id_to_edges,pdb_id_to_edges_serialized,node_label_to_node_id,node_label_to_node_id_serialized,edge_label_to_edge_id,edge_label_to_edge_id_serialized,Uncompressed node attr values,Uncompressed edge attr values,Compressed dict attributes,Total compressed node attr values,Total compressed edge attr values,attr_keys,attr_keys_serialized,edge_attr_values,edge_attr_values_serialized,node_attr_values,node_attr_values_serialized,Compressed node attributes,node_global_attr_keyvalue_mapping,node_global_attr_keyvalue_mapping_serialized,node_local_attr_keyvalue_mapping,node_local_attr_keyvalue_mapping_serialized,Compressed edge attributes,edge_local_attr_keyvalue_mapping,edge_local_attr_keyvalue_mapping_serialized,Compressed graph object size,Compressed graph complete size serialized
bcl_ppigremlin,36.09,96572,765111,38,44.39,523.43,62.24,264.98,470.43,100.70,0.00,0.00,0.18,0.18,0.59,0.59,9.79,0.89,90.14,9.34,105.41,356.79,155.04,52.51,317.22,0.00,0.00,126.70,17.39,28.34,4.82,24.17,1.00,1.00,23.17,1.91,190.52,190.52,17.18,422.69,58.84
bcl_ppigremlin,30.07,96572,765111,38,28.59,523.43,62.24,264.98,470.43,100.70,0.00,0.00,0.18,0.18,0.59,0.59,9.79,0.89,90.14,9.34,105.41,356.79,155.04,52.51,317.22,0.00,0.00,126.70,17.39,28.34,4.82,24.17,1.00,1.00,23.17,1.91,190.52,190.52,17.18,422.69,58.84
bcl_ppigremlin,25.31,96572,765111,38,39.76,523.43,62.24,264.98,470.43,100.70,0.00,0.00,0.18,0.18,0.59,0.59,9.79,0.89,90.14,9.34,105.41,356.79,155.04,52.51,317.22,0.00,0.00,126.70,17.39,28.34,4.82,24.17,1.00,1.00,23.17,1.91,190.52,190.52,17.18,422.69,58.84
bcl_ppigremlin,30.62,96572,765111,38,29.67,523.43,62.24,264.98,470.43,100.70,0.00,0.00,0.18,0.18,0.59,0.59,9.79,0.89,90.14,9.34,105.41,356.79,155.04,52.51,317.22,0.00,0.00,126.70,17.39,28.34,4.82,24.17,1.00,1.00,23.17,1.91,190.52,190.52,17.18,422.69,58.84
bcl_ppigremlin,26.69,96572,765111,38,29.12,523.43,62.24,264.98,470.43,100.70,0.00,0.00,0.18,0.18,0.59,0.59,9.79,0.89,90.14,9.34,105.41,356.79,155.04,52.51,317.22,0.00,0.00,126.70,17.39,28.34,4.82,24.17,1.00,1.00,23.17,1.91,190.52,190.52,17.18,422.69,58.84
ligand_PLP,207.31,537366,4243888,63,223.61,2913.48,345.06,1475.18,2570.93,710.86,0.01,0.00,0.75,0.75,1.96,1.96,46.89,5.38,661.25,64.40,587.58,1976.79,718.09,264.22,1595.85,0.00,0.00,579.01,97.02,139.08,26.69,125.14,5.60,5.60,119.53,11.87,1016.85,1016.85,96.93,2285.58,341.42
ligand_PLP,188.46,537366,4243888,63,247.49,2913.48,345.06,1475.18,2570.93,710.86,0.01,0.00,0.75,0.75,1.96,1.96,46.89,5.38,661.25,64.40,587.58,1976.79,718.09,264.22,1595.85,0.00,0.00,579.01,97.02,139.08,26.69,125.14,5.60,5.60,119.53,11.87,1016.85,1016.85,96.93,2285.58,341.42
ligand_PLP,197.13,537366,4243888,63,219.53,2913.48,345.06,1475.18,2570.93,710.86,0.01,0.00,0.75,0.75,1.96,1.96,46.89,5.38,661.25,64.40,587.58,1976.79,718.09,264.22,1595.85,0.00,0.00,579.01,97.02,139.08,26.69,125.14,5.60,5.60,119.53,11.87,1016.85,1016.85,96.93,2285.58,341.42
ligand_PLP,241.49,537366,4243888,63,171.69,2913.48,345.06,1475.18,2570.93,710.86,0.01,0.00,0.75,0.75,1.96,1.96,46.89,5.38,661.25,64.40,587.58,1976.79,718.09,264.22,1595.85,0.00,0.00,579.01,97.02,139.08,26.69,125.14,5.60,5.60,119.53,11.87,1016.85,1016.85,96.93,2285.58,341.42
ligand_PLP,183.93,537366,4243888,63,165.08,2913.48,345.06,1475.18,2570.93,710.86,0.01,0.00,0.75,0.75,1.96,1.96,46.89,5.38,661.25,64.40,587.58,1976.79,718.09,264.22,1595.85,0.00,0.00,579.01,97.02,139.08,26.69,125.14,5.60,5.60,119.53,11.87,1016.85,1016.85,96.93,2285.58,341.42
