dataset,time_to_extract_1,time_to_extract_2,time_to_extract_3,time_to_extract_4,time_to_extract_5,time_to_extract_6,time_to_extract_7,time_to_extract_8,time_to_extract_9,time_to_extract_10
bcl_ppigremlin,0.97,0.14,0.14,0.14,0.13,0.30,0.30,0.14,1.11,0.33
bcl_ppigremlin,1.51,0.33,0.14,0.27,0.14,1.14,0.30,0.27,0.38,0.14
bcl_ppigremlin,0.83,0.14,0.33,0.24,0.14,0.14,0.13,0.28,1.07,0.13
bcl_ppigremlin,0.14,0.96,0.26,0.29,0.13,0.27,0.14,0.33,1.09,0.14
bcl_ppigremlin,0.14,1.09,0.20,0.30,0.25,0.31,0.31,0.95,0.30,0.30
ligand_PLP,1.18,0.58,0.58,0.57,0.67,0.39,0.61,0.33,2.19,0.60
ligand_PLP,0.72,0.34,0.18,0.21,2.20,0.36,1.07,0.66,0.69,0.60
ligand_PLP,0.60,0.21,2.19,2.49,1.43,0.58,0.63,5.35,1.32,0.20
ligand_PLP,2.20,0.34,0.76,0.58,0.66,1.63,0.35,0.36,0.20,0.66
ligand_PLP,0.55,0.66,0.72,2.17,0.39,0.22,0.29,0.59,0.58,0.99
soybean_ppigremlin,0.22,0.18,0.17,0.17,0.20,0.17,2.44,0.42,0.43,0.21
soybean_ppigremlin,0.21,0.20,0.20,0.45,2.11,0.42,0.17,0.18,0.17,0.20
soybean_ppigremlin,0.46,0.16,0.21,0.20,0.17,2.05,0.21,0.20,0.20,0.21
soybean_ppigremlin,0.21,0.20,0.61,0.20,2.06,0.26,0.18,0.20,0.20,0.20
soybean_ppigremlin,0.20,0.20,0.20,0.21,0.30,0.21,2.09,0.29,0.19,0.20
