filename,result_log_for,number_of_nodes,number_of_edges_initially,memory_size_initial,number_of_edges_after_1_aromatic_sulphur,memory_size_after_1_aromatic_sulphur,number_of_edges_after_2_bb_carbonyl_carbonyl,memory_size_after_2_bb_carbonyl_carbonyl,number_of_edges_after_3_cation_pi,memory_size_after_3_cation_pi,number_of_edges_after_4_delaunay,memory_size_after_4_delaunay,number_of_edges_after_5_disulfide,memory_size_after_5_disulfide,number_of_edges_after_6_hbond,memory_size_after_6_hbond,number_of_edges_after_7_hydrophobic,memory_size_after_7_hydrophobic,number_of_edges_after_8_ionic,memory_size_after_8_ionic,number_of_edges_after_9_knn,memory_size_after_9_knn,number_of_edges_after_10_peptide_bond,memory_size_after_10_peptide_bond
bcl_ppigremlin_results.log,bcl_ppigremlin,106520.0,37818.0,105.34,37818.0,105.34,48275.0,121.11,48275.0,121.11,1260803.0,1225.49,1260803.0,1225.49,1260901.0,1225.57,1438324.0,1477.92,1495771.0,1599.72,1503841.0,1607.14,1503841.0,1607.14
ligand_BME_results.log,ligand_BME,347683.0,200871.0,371.91,200871.0,371.91,255667.0,415.33,255667.0,415.33,5343674.0,4706.3,5343674.0,4706.3,5343729.0,4706.34,5536223.0,4844.78,5671136.0,5425.58,5740816.0,5480.37,5740816.0,5480.37
ligand_EDO_results.log,ligand_EDO,,,,,,,,,,,,,,,,,,,,,,,
ligand_HEM_results.log,ligand_HEM,,,,,,,,,,,,,,,,,,,,,,,
ligand_NAG_results.log,ligand_NAG,1158717.0,1061560.0,1569.68,1061560.0,1569.68,1282175.0,1745.54,1282175.0,1745.54,,,,,,,,,,,,,,
ligand_PLP_results.log,ligand_PLP,293709.0,109551.0,265.63,109551.0,265.63,147964.0,295.91,147964.0,295.91,3675535.0,3333.72,3675535.0,3333.72,3675594.0,3333.77,3827322.0,3444.65,3927645.0,3514.41,3977176.0,3553.12,3977204.0,3553.14
ligand_PO4_results.log,ligand_PO4,,,,,,,,,,,,,,,,,,,,,,,
ligand_SO4_results.log,ligand_SO4,,,,,,,,,,,,,,,,,,,,,,,
ligand_results.log,ligand,,,,,,,,,,,,,,,,,,,,,,,
metals_CA_results.log,metals_CA,,,,,,,,,,,,,,,,,,,,,,,
metals_CO_results.log,metals_CO,413998.0,208433.0,447.74,208433.0,447.74,270689.0,496.78,270689.0,496.78,6406766.0,5996.76,6406766.0,5996.76,6406914.0,5996.87,6826448.0,6287.57,7035197.0,6431.99,7111080.0,6491.72,7111080.0,6491.72
metals_FE_results.log,metals_FE,638456.0,422657.0,732.33,422657.0,732.34,523971.0,812.4,523971.0,812.4,9754098.0,8740.0,9754098.0,8740.0,9754126.0,8740.02,10127409.0,9008.35,10413964.0,9219.51,10530418.0,9311.34,10530419.0,9311.34
metals_MG_results.log,metals_MG,,,,,,,,,,,,,,,,,,,,,,,
metals_MN_results.log,metals_MN,,,,,,,,,,,,,,,,,,,,,,,
metals_NI_results.log,metals_NI,524177.0,335420.0,584.14,335420.0,584.14,426955.0,696.5,426955.0,696.5,9322858.0,8442.45,9322858.0,8442.45,9322904.0,8442.48,9708129.0,8719.03,9957771.0,8905.12,10065437.0,8990.53,10065448.0,8990.54
metals_ZN_results.log,metals_ZN,,,,,,,,,,,,,,,,,,,,,,,
metals_results.log,metals,,,,,,,,,,,,,,,,,,,,,,,
nicleic_dna_results.log,nicleic_dna,,,,,,,,,,,,,,,,,,,,,,,
nicleic_results.log,nicleic,,,,,,,,,,,,,,,,,,,,,,,
nicleic_rna_results.log,nicleic_rna,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_ADP_results.log,nucleotides_ADP,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_ATP_results.log,nucleotides_ATP,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_FAD_results.log,nucleotides_FAD,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_FMN_results.log,nucleotides_FMN,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_GDP_results.log,nucleotides_GDP,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_GTP_results.log,nucleotides_GTP,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_NAD_results.log,nucleotides_NAD,,,,,,,,,,,,,,,,,,,,,,,
nucleotides_UDP_results.log,nucleotides_UDP,319789.0,137465.0,295.98,137465.0,295.98,172780.0,323.73,172780.0,323.73,3672907.0,3336.0,,,,,,,,,,,,
nucleotides_results.log,nucleotides,,,,,,,,,,,,,,,,,,,,,,,
protein_ligands_results.log,protein_ligands,,,,,,,,,,,,,,,,,,,,,,,
soybean_ppigremlin_results.log,soybean_ppigremlin,62300.0,9754.0,49.38,9754.0,49.38,13770.0,54.1,13770.0,54.1,655046.0,738.89,655046.0,738.89,655063.0,738.91,699835.0,836.02,707638.0,842.12,712460.0,847.34,712472.0,847.35
