epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,49,,,,0.25,1.9154222011566162,,
0,99,,,,0.75,1.4154222011566162,,
0,149,,,,0.25,1.9154222011566162,,
0,177,,,,,,0.26750001311302185,1.8976913690567017
1,199,,,,0.0,2.165422201156616,,
1,249,,,,0.5,1.6654222011566162,,
1,299,,,,0.25,1.9154222011566162,,
1,349,,,,0.0,2.165422201156616,,
1,355,,,,,,0.31958332657814026,1.845838189125061
2,399,,,,0.5,1.6654222011566162,,
2,449,,,,0.0,2.165422201156616,,
2,499,,,,0.25,1.9154222011566162,,
2,533,,,,,,0.26750001311302185,1.8979215621948242
3,549,,,,0.0,2.165422201156616,,
3,599,,,,0.5,1.665395975112915,,
3,649,,,,0.25,1.915421962738037,,
3,699,,,,0.0,2.165422201156616,,
3,711,,,,,,0.26750001311302185,1.897874355316162
4,749,,,,0.5,1.6654222011566162,,
4,799,,,,0.25,1.9154222011566162,,
4,849,,,,0.5,1.6654222011566162,,
4,889,,,,,,0.26750001311302185,1.8967971801757812
5,899,,,,0.25,1.9154222011566162,,
5,949,,,,0.75,1.4154222011566162,,
5,999,,,,0.0,2.165422201156616,,
5,1049,,,,0.25,1.9154222011566162,,
5,1067,,,,,,0.26750001311302185,1.8979215621948242
6,1099,,,,0.5,1.6654222011566162,,
6,1149,,,,0.0,2.165422201156616,,
6,1199,,,,0.25,1.9154222011566162,,
6,1245,,,,,,0.26750001311302185,1.8979215621948242
7,1249,,,,0.25,1.9154222011566162,,
7,1299,,,,0.0,2.165422201156616,,
7,1349,,,,0.25,1.9154222011566162,,
7,1399,,,,0.25,1.9154222011566162,,
7,1423,,,,,,0.26750001311302185,1.8979215621948242
8,1449,,,,0.75,1.4154222011566162,,
8,1499,,,,0.5,1.6654222011566162,,
8,1549,,,,0.0,2.165422201156616,,
8,1599,,,,0.25,1.9154222011566162,,
8,1601,,,,,,0.28833332657814026,1.877087950706482
9,1649,,,,0.25,1.9154222011566162,,
