epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,valid_acc,valid_loss
0,49,,,,0.0,2.1653757095336914,,
0,99,,,,0.0,2.165422201156616,,
0,149,,,,0.5,1.6654222011566162,,
0,177,,,,,,0.2750000059604645,1.890421748161316
1,199,,,,0.0,2.165422201156616,,
1,249,,,,0.25,1.9154222011566162,,
1,299,,,,0.0,2.165422201156616,,
1,349,,,,0.25,1.9154222011566162,,
1,355,,,,,,0.23333333432674408,1.9320712089538574
2,399,,,,0.0,2.165422201156616,,
2,449,,,,0.25,1.9154222011566162,,
2,499,,,,0.0,2.165422201156616,,
2,533,,,,,,0.3062500059604645,1.859171748161316
3,549,,,,0.0,2.165422201156616,,
3,599,,,,0.75,1.4154222011566162,,
3,649,,,,0.0,2.165422201156616,,
3,699,,,,0.0,2.165422201156616,,
3,711,,,,,,0.33000001311302185,1.835929036140442
4,749,,,,0.75,1.4154222011566162,,
4,799,,,,0.75,1.4154222011566162,,
4,849,,,,0.25,1.9154222011566162,,
4,889,,,,,,0.33000001311302185,1.8354215621948242
5,899,,,,0.25,1.9154222011566162,,
5,949,,,,0.5,1.6654222011566162,,
5,999,,,,0.25,1.9154222011566162,,
5,1049,,,,0.25,1.9154222011566162,,
5,1067,,,,,,0.33000001311302185,1.8355770111083984
6,1099,,,,0.75,1.4154222011566162,,
6,1149,,,,0.25,1.9154222011566162,,
6,1199,,,,0.5,1.665421962738037,,
6,1245,,,,,,0.3270833194255829,1.8383383750915527
7,1249,,,,0.0,2.165422201156616,,
7,1299,,,,0.25,1.9154222011566162,,
7,1349,,,,0.25,1.9154222011566162,,
7,1399,,,,0.0,2.165422201156616,,
7,1423,,,,,,0.39250001311302185,1.7729215621948242
8,1449,,,,0.5,1.6654222011566162,,
8,1499,,,,0.5,1.6654222011566162,,
8,1549,,,,0.0,2.165422201156616,,
8,1599,,,,0.0,2.165422201156616,,
8,1601,,,,,,0.40291666984558105,1.7625049352645874
9,1649,,,,0.25,1.9154222011566162,,
9,1699,,,,0.25,1.9154222011566162,,
9,1749,,,,0.5,1.6654222011566162,,
9,1779,,,,,,0.40291666984558105,1.7625049352645874
10,1799,,,,0.0,2.165422201156616,,
10,1849,,,,0.25,1.9154222011566162,,
10,1899,,,,0.5,1.6654222011566162,,
10,1949,,,,0.0,2.165422201156616,,
10,1957,,,,,,0.40291666984558105,1.7620073556900024
11,1999,,,,0.5,1.6654222011566162,,
11,2049,,,,0.5,1.6654222011566162,,
11,2099,,,,1.0,1.1654222011566162,,
11,2135,,,,,,0.41624999046325684,1.7491716146469116
12,2149,,,,0.0,2.165422201156616,,
12,2199,,,,0.25,1.9154222011566162,,
12,2249,,,,0.5,1.6654222011566162,,
12,2299,,,,0.75,1.4154222011566162,,
12,2313,,,,,,0.41624999046325684,1.7491716146469116
13,2349,,,,0.5,1.6654222011566162,,
13,2399,,,,0.5,1.6654222011566162,,
13,2449,,,,0.5,1.6654222011566162,,
13,2491,,,,,,0.41624999046325684,1.7491716146469116
14,2499,,,,0.0,2.165422201156616,,
14,2549,,,,0.25,1.9154222011566162,,
14,2599,,,,0.0,2.165422201156616,,
14,2649,,,,1.0,1.1654222011566162,,
14,2669,,,,,,0.41624999046325684,1.7491716146469116
15,2699,,,,0.5,1.6654222011566162,,
15,2749,,,,0.0,2.165422201156616,,
15,2799,,,,0.25,1.9154222011566162,,
15,2847,,,,,,0.41624999046325684,1.7491716146469116
16,2849,,,,0.5,1.6654222011566162,,
16,2899,,,,0.25,1.9154222011566162,,
16,2949,,,,0.0,2.165422201156616,,
16,2999,,,,0.0,2.165422201156616,,
16,3025,,,,,,0.41624999046325684,1.7491716146469116
17,3049,,,,0.75,1.4154222011566162,,
17,3099,,,,0.5,1.6654222011566162,,
17,3149,,,,0.5,1.6654222011566162,,
17,3199,,,,0.25,1.9154222011566162,,
17,3203,,,,,,0.41624999046325684,1.7491716146469116
18,3249,,,,0.0,2.165422201156616,,
18,3299,,,,0.25,1.9154222011566162,,
18,3349,,,,0.5,1.6654222011566162,,
18,3381,,,,,,0.41624999046325684,1.7491716146469116
19,3399,,,,0.5,1.6654222011566162,,
19,3449,,,,0.25,1.9154222011566162,,
19,3499,,,,0.5,1.6654222011566162,,
19,3549,,,,0.25,1.9154222011566162,,
19,3559,,,,,,0.41624999046325684,1.7491716146469116
20,3599,,,,0.5,1.6654222011566162,,
20,3649,,,,0.5,1.6654222011566162,,
20,3699,,,,0.5,1.6654222011566162,,
20,3737,,,,,,0.41624999046325684,1.7491716146469116
21,3749,,,,0.5,1.6654222011566162,,
21,3799,,,,0.5,1.6654222011566162,,
21,3849,,,,0.0,2.165422201156616,,
21,3899,,,,0.5,1.6654222011566162,,
21,3915,,,,,,0.41624999046325684,1.7491716146469116
22,3949,,,,0.25,1.9154222011566162,,
22,3999,,,,0.75,1.4154222011566162,,
22,4049,,,,0.25,1.9154222011566162,,
22,4093,,,,,,0.41624999046325684,1.7491716146469116
23,4099,,,,0.0,2.165422201156616,,
23,4149,,,,0.5,1.6654222011566162,,
23,4199,,,,0.75,1.4154222011566162,,
23,4249,,,,0.25,1.9154222011566162,,
23,4271,,,,,,0.41624999046325684,1.7491716146469116
24,4299,,,,0.25,1.9154222011566162,,
24,4349,,,,0.25,1.9154222011566162,,
24,4399,,,,0.25,1.9154222011566162,,
24,4449,,,,0.0,2.165422201156616,,
24,4449,,,,,,0.41624999046325684,1.7491716146469116
25,4499,,,,0.0,2.165422201156616,,
25,4549,,,,0.25,1.9154222011566162,,
25,4599,,,,0.0,2.165422201156616,,
25,4627,,,,,,0.41624999046325684,1.7491716146469116
26,4649,,,,0.5,1.6654222011566162,,
